MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
61434,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to local bricks manufacturer,South Africa,1,0,0,690290,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61435,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to local pharmaceutical producer,South Africa,1,0,0,"293399,294200,300450,300490",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61436,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to manufacturer of consumer care products,South Africa,1,0,0,961900,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61437,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to local food manufacturer,South Africa,1,0,0,"200710,200791,200799,200911,200912,200919,200921,200929,200931,200939,200941,200949,200950,200961,200969,200971,200979,200981,200989,200990",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61439,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to local naval company,South Africa,1,0,0,NA,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61440,"Department of Trade, Industry and Competition",2018,South Africa: Tax allowances to alcohol manufacturer,South Africa,1,0,0,290919,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,1
61449,"Department of Trade, Industry and Competition",2016,South Africa: Tax allowances to local chemicals group,South Africa,1,0,0,310260,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61450,"Department of Trade, Industry and Competition",2017,South Africa: Tax allowances to Main Street 1310 (Pty) Ltd,South Africa,1,0,0,481820,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61451,"Department of Trade, Industry and Competition",2016,South Africa: Tax allowances to local furniture manufacturer,South Africa,1,0,0,441011,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61453,"Department of Trade, Industry and Competition",2016,South Africa: Tax allowances to a local agricultural and agri-processing company,South Africa,1,0,0,"170112,170113,170114,170199",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61454,"Department of Trade, Industry and Competition",2016,South Africa: Tax allowances to plastics manufacturer,South Africa,1,0,0,390210,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61457,"Department of Trade, Industry and Competition",2016,South Africa: Tax breaks for Clover S.A. (Pty) Ltd,South Africa,1,0,0,"040510,040590,040620,040630,040690",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61458,"Department of Trade, Industry and Competition",2016,South Africa: Tax allowances to paper manufacturer,South Africa,1,0,0,"470311,470321,470329,480524,480525,480530,480540,480591,480593,481910,481920,481930,481940,481960",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61459,"Department of Trade, Industry and Competition",2015,South Africa: Tax allowances to local steel manufacturer,South Africa,1,0,0,"720837,720838,720839,721921,721922,721932,721933",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61460,"Department of Trade, Industry and Competition",2015,South Africa: Tax breaks for Nampak Products Limited,South Africa,1,0,0,761290,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61461,"Department of Trade, Industry and Competition",2015,South Africa: Tax incentives approved for Air Liquide (Pty) Ltd,South Africa,1,0,0,"280421,280430,280440",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61487,"Department of Trade, Industry and Competition",2015,South Africa: Tax breaks for local steel and iron products manufacturer,South Africa,1,0,0,"860729,860791,860799",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61488,"Department of Trade, Industry and Competition",2015,South Africa: Tax allowances to ArcelorMittal South Africa Ltd,South Africa,1,0,0,720712,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61491,"Department of Trade, Industry and Competition",2015,South Africa: Tax breaks for metal products manufacturer,South Africa,1,0,0,761210,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61492,"Department of Trade, Industry and Competition",2015,South Africa: Tax allowances to local cement manufacturer,South Africa,1,0,0,"252321,252329,252330",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61493,"Department of Trade, Industry and Competition",2014,South Africa: Tax breaks for Moxisign (Pty) Ltd,South Africa,1,0,0,350400,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61518,"Department of Trade, Industry and Competition",2015,South Africa: Government approve tax allowances to local logistics provider,South Africa,1,0,0,"271012,271019",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61519,"Department of Trade, Industry and Competition",2015,South Africa: Tax breaks for Southey Holdings (Pty) Ltd,South Africa,1,0,0,NA,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61520,"Department of Trade, Industry and Competition",2014,South Africa: Tax allowances to local flour manufacturer,South Africa,1,0,0,110100,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61524,"Ministry for Trade, Tourism and Investment",2018,Australia: Location incentive to attract FDI,Australia,1,0,0,NA,FDI measures,FDI: Financial incentive,Not firm specific,national,1
61524,Ministry of Foreign Affairs,2018,Australia: Location incentive to attract FDI,Australia,1,0,0,NA,FDI measures,FDI: Financial incentive,Not firm specific,national,1
61524,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",2018,Australia: Location incentive to attract FDI,Australia,1,0,0,NA,FDI measures,FDI: Financial incentive,Not firm specific,national,1
61525,Clean Energy Finance Corporation,2017,Australia: CEFC allocates AUD 20 million to RateSetter,Australia,1,0,0,NA,Subsidies (excluding export subsidies),State loan,Firm specific,NFI,
61526,Clean Energy Finance Corporation,2017,Australia: CEFC allocates AUD 20 million to RateSetter,Australia,1,0,0,"854110,854129,854130,854140,854190",Trade-related investment measures,Local value added incentive,Firm specific,NFI,
61529,"Department of Trade, Industry and Competition",2015,South Africa: Tax allowances to wood-based panel products manufacturer,South Africa,1,0,0,390760,Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
61530,"Department of Trade, Industry and Competition",2014,South Africa: Tax breaks for African Oxygen Limited,South Africa,1,0,0,"280421,280430,280440",Subsidies (excluding export subsidies),Tax or social insurance relief,Firm specific,national,
